strategy,email_id,subject,gold_category,predicted_category,gold_priority,predicted_priority,latency_seconds,llm_calls,tool_calls,input_tokens,output_tokens,total_tokens,classify_calls_uninstrumented,error
react,9,Order confirmation but no access,Order & Delivery Issues,Technical / IT Problems,URGENT,URGENT,71.76,6,5,12063,496,12559,1,
plan_execute,9,Order confirmation but no access,Order & Delivery Issues,Technical / IT Problems,URGENT,URGENT,86.86,8,7,16631,621,17252,1,
self_correction,9,Order confirmation but no access,Order & Delivery Issues,Technical / IT Problems,URGENT,URGENT,92.05,9,7,20723,724,21447,1,
react,10,Can't find order history,Order & Delivery Issues,Order & Delivery Issues,LOW,MEDIUM,48.05,4,3,7492,304,7796,1,
plan_execute,10,Can't find order history,Order & Delivery Issues,Order & Delivery Issues,LOW,MEDIUM,64.12,6,5,11644,401,12045,1,
self_correction,10,Can't find order history,Order & Delivery Issues,Order & Delivery Issues,LOW,MEDIUM,63.28,6,4,12198,519,12717,1,
react,11,API returns 500 error constantly,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,62.02,6,5,11808,399,12207,1,
plan_execute,11,API returns 500 error constantly,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,202.62,16,20,45343,1915,47258,1,
self_correction,11,API returns 500 error constantly,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,148.67,13,12,34590,1497,36087,1,
react,12,Web app extremely slow after update,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,63.04,6,5,11873,408,12281,1,
plan_execute,12,Web app extremely slow after update,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,72.48,7,6,13868,465,14333,1,
self_correction,12,Web app extremely slow after update,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,178.15,13,15,36569,1729,38298,1,
react,13,SSO login broken for all users,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,58.98,5,4,9509,378,9887,1,
plan_execute,13,SSO login broken for all users,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,70.37,7,6,13840,448,14288,1,
self_correction,13,SSO login broken for all users,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,78.05,8,6,17679,548,18227,1,
react,14,Mobile app crashes on Android,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,70.48,7,6,14150,477,14627,1,
plan_execute,14,Mobile app crashes on Android,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,220.38,16,15,47479,2271,49750,1,
self_correction,14,Mobile app crashes on Android,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,78.82,8,6,17035,616,17651,1,
react,15,Reports not exporting to PDF,Technical / IT Problems,Technical / IT Problems,MEDIUM,URGENT,57.6,6,5,11929,344,12273,1,
plan_execute,15,Reports not exporting to PDF,Technical / IT Problems,Technical / IT Problems,MEDIUM,URGENT,68.4,7,6,14030,449,14479,1,
self_correction,15,Reports not exporting to PDF,Technical / IT Problems,Technical / IT Problems,MEDIUM,URGENT,81.24,9,7,20520,591,21111,1,
react,16,Webhook delivery failing,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,45.03,3,2,5290,254,5544,1,
plan_execute,16,Webhook delivery failing,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,59.81,6,5,11443,324,11767,1,
self_correction,16,Webhook delivery failing,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,53.62,6,4,12362,328,12690,1,
react,17,Task assignment notifications not sent,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,60.33,6,5,11844,392,12236,1,
plan_execute,17,Task assignment notifications not sent,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,181.35,16,16,44079,1711,45790,1,
self_correction,17,Task assignment notifications not sent,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,76.87,8,6,16947,616,17563,1,
react,18,Search function returns incomplete results,Technical / IT Problems,Technical / IT Problems,LOW,MEDIUM,45.5,4,3,7158,191,7349,1,
plan_execute,18,Search function returns incomplete results,Technical / IT Problems,Technical / IT Problems,LOW,MEDIUM,54.04,5,4,9144,260,9404,1,
self_correction,18,Search function returns incomplete results,Technical / IT Problems,Technical / IT Problems,LOW,MEDIUM,157.24,13,12,33575,1457,35032,1,
react,19,Two-factor authentication loop,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,67.3,6,5,11679,420,12099,1,
plan_execute,19,Two-factor authentication loop,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,72.2,7,6,13814,474,14288,1,
self_correction,19,Two-factor authentication loop,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,74.57,8,6,16973,570,17543,1,
react,20,Error when uploading large CSV,Technical / IT Problems,Technical / IT Problems,LOW,MEDIUM,110.07,10,11,22605,888,23493,1,
plan_execute,20,Error when uploading large CSV,Technical / IT Problems,Technical / IT Problems,LOW,MEDIUM,79.04,8,7,16067,512,16579,1,
self_correction,20,Error when uploading large CSV,Technical / IT Problems,Technical / IT Problems,LOW,MEDIUM,135.54,13,12,32922,1286,34208,1,
react,21,Overcharged on annual subscription,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,60.5,6,5,11707,366,12073,1,
plan_execute,21,Overcharged on annual subscription,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,69.32,7,6,14078,437,14515,1,
self_correction,21,Overcharged on annual subscription,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,81.27,9,7,20852,530,21382,1,
react,22,Credit card charged twice for same month,Billing & Payment,Billing & Payment,URGENT,MEDIUM,53.99,5,4,9650,319,9969,1,
plan_execute,22,Credit card charged twice for same month,Billing & Payment,Billing & Payment,URGENT,MEDIUM,67.22,7,6,14082,427,14509,1,
self_correction,22,Credit card charged twice for same month,Billing & Payment,Billing & Payment,URGENT,MEDIUM,80.32,8,6,17551,618,18169,1,
react,23,Tax ID missing on invoices,Billing & Payment,Billing & Payment,LOW,MEDIUM,62.27,6,5,11774,385,12159,1,
plan_execute,23,Tax ID missing on invoices,Billing & Payment,Billing & Payment,LOW,MEDIUM,72.19,7,6,13816,472,14288,1,
self_correction,23,Tax ID missing on invoices,Billing & Payment,Billing & Payment,LOW,MEDIUM,74.9,8,6,17010,569,17579,1,
react,24,Payment not reflected on account,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,63.07,6,5,11945,410,12355,1,
plan_execute,24,Payment not reflected on account,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,68.52,7,6,14003,439,14442,1,
self_correction,24,Payment not reflected on account,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,67.51,7,5,14578,533,15111,1,
react,25,Price increase without notice,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,61.41,6,5,11907,407,12314,1,
plan_execute,25,Price increase without notice,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,68.77,7,6,13902,440,14342,1,
self_correction,25,Price increase without notice,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,66.26,7,5,14509,522,15031,1,
react,26,Cancellation request – billing continues,Billing & Payment,Billing & Payment,URGENT,MEDIUM,69.52,6,5,11840,525,12365,1,
plan_execute,26,Cancellation request – billing continues,Billing & Payment,Billing & Payment,URGENT,MEDIUM,246.98,16,26,49670,2248,51918,1,
self_correction,26,Cancellation request – billing continues,Billing & Payment,Billing & Payment,URGENT,MEDIUM,137.52,13,12,33427,1313,34740,1,
react,27,Cannot update payment method,Billing & Payment,Billing & Payment,MEDIUM,URGENT,62.68,6,5,11783,401,12184,1,
plan_execute,27,Cannot update payment method,Billing & Payment,Billing & Payment,MEDIUM,URGENT,72.39,7,6,13835,462,14297,1,
self_correction,27,Cannot update payment method,Billing & Payment,Billing & Payment,MEDIUM,URGENT,75.46,8,6,17064,575,17639,1,
react,28,Invoice currency wrong,Billing & Payment,Billing & Payment,LOW,MEDIUM,53.85,5,4,9328,333,9661,1,
plan_execute,28,Invoice currency wrong,Billing & Payment,Billing & Payment,LOW,MEDIUM,66.15,7,6,13945,411,14356,1,
self_correction,28,Invoice currency wrong,Billing & Payment,Billing & Payment,LOW,MEDIUM,77.26,8,6,16902,586,17488,1,
react,29,Early termination fee not agreed,Billing & Payment,Complaints & Escalations,MEDIUM,MEDIUM,49.19,4,3,7257,317,7574,1,
plan_execute,29,Early termination fee not agreed,Billing & Payment,Complaints & Escalations,MEDIUM,MEDIUM,86.61,9,8,18976,622,19598,1,
self_correction,29,Early termination fee not agreed,Billing & Payment,Complaints & Escalations,MEDIUM,MEDIUM,91.22,9,7,20256,699,20955,1,
react,30,Discount not applied correctly,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,59.61,6,5,11576,374,11950,1,
plan_execute,30,Discount not applied correctly,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,76.86,7,6,13978,593,14571,1,
self_correction,30,Discount not applied correctly,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,71.25,8,6,16644,518,17162,1,
react,31,Request refund for unused licenses,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,68.01,6,5,11794,445,12239,1,
plan_execute,31,Request refund for unused licenses,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,55.95,5,4,9218,281,9499,1,
self_correction,31,Request refund for unused licenses,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,76.39,8,6,17578,532,18110,1,
react,32,Refund for duplicate payment,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,48.37,4,3,7241,240,7481,1,
plan_execute,32,Refund for duplicate payment,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,47.54,4,3,7134,216,7350,1,
self_correction,32,Refund for duplicate payment,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,76.01,8,6,17059,579,17638,1,
react,33,Return of licenses – we switched to competitor,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,63.08,6,5,11792,364,12156,1,
plan_execute,33,Return of licenses – we switched to competitor,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,70.3,6,5,12050,423,12473,1,
self_correction,33,Return of licenses – we switched to competitor,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,100.74,8,6,18783,507,19290,2,
react,34,Refund for unusable API feature,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,154.68,15,15,40427,1421,41848,1,
plan_execute,34,Refund for unusable API feature,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,48.44,4,3,7147,227,7374,1,
self_correction,34,Refund for unusable API feature,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,62.22,5,3,10060,552,10612,1,
react,35,Wrong subscription tier – refund difference,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,58.97,6,5,11675,362,12037,1,
plan_execute,35,Wrong subscription tier – refund difference,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,53.28,5,4,9201,252,9453,1,
self_correction,35,Wrong subscription tier – refund difference,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,77.2,8,6,17501,546,18047,1,
react,36,Refund for non-functional add-on,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,57.6,6,5,11665,345,12010,1,
plan_execute,36,Refund for non-functional add-on,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,70.69,7,6,13735,451,14186,1,
self_correction,36,Refund for non-functional add-on,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,72.97,8,6,16837,556,17393,1,
react,37,Cancel and refund within 14 days,Returns & Refund Requests,Returns & Refund Requests,URGENT,MEDIUM,60.11,5,4,9560,430,9990,1,
plan_execute,37,Cancel and refund within 14 days,Returns & Refund Requests,Returns & Refund Requests,URGENT,MEDIUM,56.3,5,4,9217,299,9516,1,
self_correction,37,Cancel and refund within 14 days,Returns & Refund Requests,Returns & Refund Requests,URGENT,MEDIUM,60.44,6,4,12459,370,12829,1,
react,38,Partial refund for outage period,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,50.55,4,3,7532,335,7867,1,
plan_execute,38,Partial refund for outage period,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,95.8,9,8,19306,764,20070,1,
self_correction,38,Partial refund for outage period,Returns & Refund Requests,Returns & Refund Requests,LOW,MEDIUM,61.19,6,4,12850,454,13304,1,
react,39,Refund request – double charge for add-on,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,55.61,5,4,9674,361,10035,1,
plan_execute,39,Refund request – double charge for add-on,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,61.64,6,5,11645,355,12000,1,
self_correction,39,Refund request – double charge for add-on,Returns & Refund Requests,Returns & Refund Requests,MEDIUM,MEDIUM,64.31,7,5,14647,500,15147,1,
react,40,License return – purchased by mistake,Returns & Refund Requests,Returns & Refund Requests,URGENT,MEDIUM,57.6,5,4,9782,396,10178,1,
plan_execute,40,License return – purchased by mistake,Returns & Refund Requests,Returns & Refund Requests,URGENT,MEDIUM,54.17,4,3,7186,335,7521,1,
self_correction,40,License return – purchased by mistake,Returns & Refund Requests,Returns & Refund Requests,URGENT,MEDIUM,55.19,5,3,10557,338,10895,1,
react,41,How to add team members?,General Questions / FAQs,General Questions / FAQs,LOW,MEDIUM,56.78,5,4,9764,382,10146,1,
plan_execute,41,How to add team members?,General Questions / FAQs,General Questions / FAQs,LOW,MEDIUM,56.78,5,4,9362,367,9729,1,
self_correction,41,How to add team members?,General Questions / FAQs,,LOW,,108.79,0,0,0,0,0,0,'create_note'
react,42,Do you offer on-premises deployment?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,41.76,3,2,5312,233,5545,1,
plan_execute,42,Do you offer on-premises deployment?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,58.31,5,4,9350,392,9742,1,
self_correction,42,Do you offer on-premises deployment?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,72.21,6,4,12524,659,13183,1,
react,43,Supported file types for attachments,General Questions / FAQs,General Questions / FAQs,LOW,LOW,46.06,4,3,7453,296,7749,1,
plan_execute,43,Supported file types for attachments,General Questions / FAQs,General Questions / FAQs,LOW,LOW,55.31,5,4,9409,348,9757,1,
self_correction,43,Supported file types for attachments,General Questions / FAQs,General Questions / FAQs,LOW,LOW,67.96,7,5,15478,470,15948,1,
react,44,Is there a free trial for Enterprise?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,49.13,4,3,7414,316,7730,1,
plan_execute,44,Is there a free trial for Enterprise?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,53.65,5,4,9182,335,9517,1,
self_correction,44,Is there a free trial for Enterprise?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,64.62,7,5,15088,458,15546,1,
react,45,GDPR compliance details,General Questions / FAQs,General Questions / FAQs,MEDIUM,MEDIUM,59.8,6,5,12069,404,12473,1,
plan_execute,45,GDPR compliance details,General Questions / FAQs,General Questions / FAQs,MEDIUM,MEDIUM,65.39,6,5,11398,433,11831,1,
self_correction,45,GDPR compliance details,General Questions / FAQs,General Questions / FAQs,MEDIUM,MEDIUM,70.12,7,5,15057,578,15635,1,
react,46,How to export all projects?,General Questions / FAQs,General Questions / FAQs,LOW,MEDIUM,59.85,5,4,9754,384,10138,1,
plan_execute,46,How to export all projects?,General Questions / FAQs,General Questions / FAQs,LOW,MEDIUM,55.09,5,4,9373,337,9710,1,
self_correction,46,How to export all projects?,General Questions / FAQs,General Questions / FAQs,LOW,MEDIUM,58.93,5,3,9932,510,10442,1,
react,47,API rate limits?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,63.12,6,5,11497,438,11935,1,
plan_execute,47,API rate limits?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,73.19,8,7,15833,492,16325,1,
self_correction,47,API rate limits?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,76.53,9,7,19243,586,19829,1,
react,48,Custom domain for workspace?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,151.63,15,15,39601,1405,41006,1,
plan_execute,48,Custom domain for workspace?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,147.16,16,16,40608,1225,41833,1,
self_correction,48,Custom domain for workspace?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,78.21,9,7,19151,628,19779,1,
react,49,Do you have a Slack integration?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,47.49,4,3,7402,277,7679,1,
plan_execute,49,Do you have a Slack integration?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,55.23,5,4,9362,349,9711,1,
self_correction,49,Do you have a Slack integration?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,56.37,5,3,9835,475,10310,1,
react,50,What's your SLA for support tickets?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,47.57,4,3,7432,290,7722,1,
plan_execute,50,What's your SLA for support tickets?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,56.93,5,4,9400,377,9777,1,
self_correction,50,What's your SLA for support tickets?,General Questions / FAQs,General Questions / FAQs,LOW,LOW,66.79,7,5,15214,501,15715,1,
react,51,Worst support experience ever,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,249.25,15,15,46420,2654,49074,1,
plan_execute,51,Worst support experience ever,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,83.47,8,7,16802,615,17417,1,
self_correction,51,Worst support experience ever,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,147.86,14,13,38154,1294,39448,1,
react,52,Billing error ignored for weeks,Complaints & Escalations,Billing & Payment,URGENT,URGENT,67.94,6,5,11800,456,12256,1,
plan_execute,52,Billing error ignored for weeks,Complaints & Escalations,Billing & Payment,URGENT,URGENT,63.78,6,5,11432,369,11801,1,
self_correction,52,Billing error ignored for weeks,Complaints & Escalations,Billing & Payment,URGENT,URGENT,76.2,8,6,17501,535,18036,1,
react,53,Lack of transparency on data breach,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,59.41,6,5,11763,370,12133,1,
plan_execute,53,Lack of transparency on data breach,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,189.95,16,16,45314,1794,47108,1,
self_correction,53,Lack of transparency on data breach,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,80.62,8,6,17599,607,18206,1,
react,54,Sales team promised features that don't exist,Complaints & Escalations,Complaints & Escalations,URGENT,MEDIUM,75.33,7,6,14394,552,14946,1,
plan_execute,54,Sales team promised features that don't exist,Complaints & Escalations,Complaints & Escalations,URGENT,MEDIUM,75.15,7,6,13987,529,14516,1,
self_correction,54,Sales team promised features that don't exist,Complaints & Escalations,Complaints & Escalations,URGENT,MEDIUM,94.89,9,7,20745,761,21506,1,
react,55,Account deactivated without notice,Complaints & Escalations,Complaints & Escalations,URGENT,MEDIUM,56.9,6,5,11929,336,12265,1,
plan_execute,55,Account deactivated without notice,Complaints & Escalations,Complaints & Escalations,URGENT,MEDIUM,68.96,7,6,13731,404,14135,1,
self_correction,55,Account deactivated without notice,Complaints & Escalations,Complaints & Escalations,URGENT,MEDIUM,61.06,7,5,14474,440,14914,1,
react,56,Support agent rude and unhelpful,Complaints & Escalations,Complaints & Escalations,MEDIUM,URGENT,73.46,7,6,14457,504,14961,1,
plan_execute,56,Support agent rude and unhelpful,Complaints & Escalations,Complaints & Escalations,MEDIUM,URGENT,156.92,16,16,42703,1294,43997,1,
self_correction,56,Support agent rude and unhelpful,Complaints & Escalations,Complaints & Escalations,MEDIUM,URGENT,80.22,8,6,17660,576,18236,1,
react,57,Repeated downtime – violating SLA,Complaints & Escalations,Technical / IT Problems,URGENT,URGENT,232.24,15,15,45845,2483,48328,1,
plan_execute,57,Repeated downtime – violating SLA,Complaints & Escalations,Technical / IT Problems,URGENT,URGENT,70.77,7,6,13857,459,14316,1,
self_correction,57,Repeated downtime – violating SLA,Complaints & Escalations,Technical / IT Problems,URGENT,URGENT,196.81,13,12,37165,1998,39163,1,
react,58,Hidden fees discovered,Complaints & Escalations,Billing & Payment,MEDIUM,MEDIUM,60.72,6,5,11650,365,12015,1,
plan_execute,58,Hidden fees discovered,Complaints & Escalations,Billing & Payment,MEDIUM,MEDIUM,66.03,7,6,13664,389,14053,1,
self_correction,58,Hidden fees discovered,Complaints & Escalations,Billing & Payment,MEDIUM,MEDIUM,84.37,10,8,22263,624,22887,1,
react,59,Lost our project data,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,72.89,6,5,11807,535,12342,1,
plan_execute,59,Lost our project data,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,79.7,8,7,16331,542,16873,1,
self_correction,59,Lost our project data,Complaints & Escalations,Complaints & Escalations,URGENT,URGENT,86.84,8,6,17819,668,18487,1,
react,60,Automatic renewal ignored cancellation,Complaints & Escalations,Billing & Payment,URGENT,URGENT,59.01,6,5,11625,335,11960,1,
plan_execute,60,Automatic renewal ignored cancellation,Complaints & Escalations,Billing & Payment,URGENT,URGENT,95.21,8,7,16494,739,17233,1,
self_correction,60,Automatic renewal ignored cancellation,Complaints & Escalations,Billing & Payment,URGENT,URGENT,180.13,17,17,49912,1679,51591,1,
sequential,1,Order #TF-2341 not delivered,Order & Delivery Issues,Order & Delivery Issues,URGENT,URGENT,59.37,4,6,6513,506,7019,1,
sequential,2,Missing license keys after payment,Order & Delivery Issues,Billing & Payment,URGENT,MEDIUM,76.28,4,10,7051,913,7964,1,
sequential,3,Order placed but no confirmation,Order & Delivery Issues,Order & Delivery Issues,URGENT,URGENT,82.76,4,9,7200,1089,8289,1,
sequential,4,License activation delayed – order #TF-2765,Order & Delivery Issues,Technical / IT Problems,URGENT,URGENT,32.8,3,3,4485,395,4880,1,
sequential,5,Wrong product delivered on order,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,URGENT,30.12,4,3,5720,336,6056,1,
sequential,6,Invoice not received after order,Order & Delivery Issues,Billing & Payment,LOW,MEDIUM,62.85,4,9,6619,627,7246,1,
sequential,7,Order status shows 'pending' for 2 days,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,MEDIUM,30.16,3,2,4019,312,4331,1,
sequential,8,Quantity mismatch on delivery,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,MEDIUM,64.97,4,10,6684,627,7311,1,
sequential,9,Order confirmation but no access,Order & Delivery Issues,Technical / IT Problems,URGENT,URGENT,49.57,4,6,6540,502,7042,1,
sequential,10,Can't find order history,Order & Delivery Issues,Order & Delivery Issues,LOW,MEDIUM,58.13,4,6,6485,639,7124,1,
sequential,11,API returns 500 error constantly,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,31.91,4,3,5759,338,6097,1,
sequential,12,Web app extremely slow after update,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,109.1,4,12,7473,1362,8835,1,
sequential,13,SSO login broken for all users,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,109.64,4,13,7487,1319,8806,1,
sequential,14,Mobile app crashes on Android,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,71.88,4,9,6715,703,7418,1,
sequential,15,Reports not exporting to PDF,Technical / IT Problems,Technical / IT Problems,MEDIUM,URGENT,42.44,5,4,7583,443,8026,1,
sequential,16,Webhook delivery failing,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,110.49,4,12,7334,1333,8667,1,
sequential,17,Task assignment notifications not sent,Technical / IT Problems,Technical / IT Problems,MEDIUM,MEDIUM,35.75,4,4,6007,301,6308,1,
sequential,18,Search function returns incomplete results,Technical / IT Problems,Technical / IT Problems,LOW,MEDIUM,80.34,4,10,6808,784,7592,1,
sequential,19,Two-factor authentication loop,Technical / IT Problems,Technical / IT Problems,URGENT,URGENT,31.12,3,3,4033,241,4274,1,
sequential,20,Error when uploading large CSV,Technical / IT Problems,Technical / IT Problems,LOW,MEDIUM,49.43,4,5,5970,466,6436,1,
sequential,21,Overcharged on annual subscription,Billing & Payment,Billing & Payment,MEDIUM,MEDIUM,70.7,4,9,6707,643,7350,1,
sequential,22,Credit card charged twice for same month,Billing & Payment,Billing & Payment,URGENT,MEDIUM,70.02,4,9,6589,675,7264,1,
sequential,23,Tax ID missing on invoices,Billing & Payment,Billing & Payment,LOW,MEDIUM,49.36,4,6,6392,502,6894,1,
